NAME,COUNTY,ELEV_IN_M
Kersey,Weld,1407
La Jara,Conejos,2318
Sayre,Beckham,551
Broadview,Yellowstone,1183
Victor,Teton,1894
Geraldine,Chouteau,956
La Salle,Weld,1426
Sutherlin,Douglas,157
Snohomish,Snohomish,20
Hysham,Treasure,810
Santa Cruz,Santa Cruz,11
Bowlegs,Seminole,286
Yale,Payne,245
Scotts Valley,Santa Cruz,171
Seminole,Seminole,272
Winchester,Lewis,1213
Ripley,Payne,258
Lochbuie,Weld,1530
Winston,Douglas,169
Stanwood,Snohomish,0
Glencoe,Payne,326
Sultan,Snohomish,33
Yoncalla,Douglas,112
Steamboat Springs,Routt,2052
Watsonville,Santa Cruz,10
Wewoka,Seminole,245
Stevenson,Skamania,62
Dover,Kingfisher,315
Darrington,Snohomish,169
Sugar City,Madison,1492
Cromwell,Seminole,293
Show Low,Navajo,1927
Hayden,Routt,1935
Woodland,Cowlitz,9
Hennessey,Kingfisher,354
Lima,Seminole,267
Winslow,Navajo,1479
Dinosaur,Moffat,1805
Seaside,Clatsop,6
Wilder,Canyon,740
Index,Snohomish,175
Thompson Falls,Sanders,779
Warrenton,Clatsop,3
Star,Ada,753
Sterling,Logan,1200
Loyal,Kingfisher,339
Burns Flat,Washita,578
Sedona,Coconino,1326
Three Forks,Gallatin,1242
Williams,Coconino,2063
Dill City,Washita,565
Crook,Logan,1131
Coyle,Logan,267
Swan Valley,Bonneville,1620
Hot Springs,Sanders,866
Saint Helens,Columbia,28
Rocky,Washita,503
Fredonia,Coconino,1424
Fleming,Logan,1293
Langston,Logan,292
Ucon,Bonneville,1466
Scappoose,Columbia,20
Sidney,Richland,592
Iliff,Logan,1170
Watonga,Blaine,462
Shelley,Bingham,1412
Foss,Washita,500
Delaware,Nowata,219
Julesburg,Sedgwick,1060
Greenfield,Blaine,444
Vernonia,Columbia,189
Bonanza,Klamath,1258
Lenapah,Nowata,229
Brooksville,Pottawatomie,289
Fairview,Richland,583
Estes Park,Larimer,2300
Burbank,Osage,314
Shawnee,Pottawatomie,322
Lakeview,Lake,1461
Hitchcock,Blaine,392
Ekalaka,Carter,1044
Lusk,Niobrara,1529
Longdale,Blaine,503
Vancouver,Clark,56
Salt Lake City,Salt Lake,1300
Shidler,Osage,356
Tecumseh,Pottawatomie,330
Dutton,Teton,1136
Washougal,Clark,23
Fairfield,Teton,1214
Prue,Osage,234
Earlsboro,Pottawatomie,312
Sandy,Salt Lake,1413
Rolling Hills,Converse,1629
Seiling,Dewey,533
White Salmon,Klickitat,189
Saint Louis,Pottawatomie,312
Smelterville,Shoshone,681
South Jordan,Salt Lake,1353
Glenrock,Converse,1530
Putnam,Dewey,598
Fairfax,Osage,260
Wallace,Shoshone,832
South Salt Lake,Salt Lake,1297
Lost Springs,Converse,1523
Leedey,Dewey,631
Foraker,Osage,390
Lodge Grass,Big Horn,1026
Johnson,Pottawatomie,317
Wardner,Shoshone,810
Taylorsville,Salt Lake,1310
Edgerton,Natrona,1493
Sapulpa,Creek,218
Grainola,Osage,366
Stanfield,Umatilla,181
Stigler,Haskell,175
Saint Ignatius,Lake,896
West Jordan,Salt Lake,1334
Evansville,Natrona,1562
Depew,Creek,269
Waynoka,Woods,455
Ukiah,Umatilla,1023
Keota,Haskell,153
Spokane,Spokane,572
West Valley City,Salt Lake,1312
Afton,Lincoln,1902
Kellyville,Creek,239
Dacoma,Woods,415
Umatilla,Umatilla,98
Kinta,Haskell,166
Spokane Valley,Spokane,614
Alta,Salt Lake,2609
Alpine,Lincoln,1725
Kiefer,Creek,213
Freedom,Woods,468
Weston,Umatilla,562
Bokoshe,Le Flore,157
Rockford,Spokane,728
Vernal,Uintah,1624
Diamondville,Lincoln,2101
Lawrence Creek,Creek,236
Bluejacket,Craig,238
Wallowa,Wallowa,895
Fairfield,Spokane,787
Altamont,Duchesne,1947
La Barge,Lincoln,2009
Cowlington,Le Flore,143
Wagoner,Wagoner,180
Vinita,Craig,214
Lima,Beaverhead,1907
Latah,Spokane,765
Haxtun,Phillips,1228
Shoshone,Lincoln,1208
Pocola,Le Flore,147
Porter,Wagoner,196
Ketchum,Craig,235
Lexington,Morrow,442
Spirit Lake,Kootenai,783
Redbird,Wagoner,188
Union,Union,851
Daniel,Wasatch,1742
Wendell,Gooding,1046
Rock Island,Le Flore,152
State Line,Kootenai,642
Fair Oaks,Wagoner,194
Salem,Utah,1405
Soda Springs,Caribou,1760
Worley,Kootenai,811
Tahlequah,Cherokee,243
Santaquin,Utah,1519
Fanshawe,Le Flore,166
Butte Falls,Jackson,772
Saratoga Springs,Utah,1373
Fort Coffee,Le Flore,141
Shady Cove,Jackson,425
Spanish Fork,Utah,1395
Howe,Le Flore,149
Talent,Jackson,496
Springville,Utah,1396
Woodland Hills,Utah,1698
Bradley,Grady,330
Chaplin,Nelson,251
New Hope,Nelson,166
Spottsville,Henderson,121
Coral,Indiana,312
King and Queen Court House,King and Queen,8
Graceton,Indiana,323
Cerulean,Trigg,156
Salvisa,Mercer,246
Jensen,Uintah,1441
Nardin,Kay,331
Maceo,Daviess,119
Dola,Hardin,289
Felt,Cimarron,1358
Fort Dodge,Ford,751
Denmark,Lee,220
Kenton,Cimarron,1326
Wright,Ford,772
Egypt,Lehigh,127
Turpin,Beaver,839
King William,King William,42
New Tripoli,Lehigh,177
Sedley,Southampton,27
Goochland,Goochland,77
Slatedale,Lehigh,156
Southampton Meadows,Southampton,5
Hornitos,Mariposa,257
Breinigsville,Lehigh,124
Arroyo Hondo,Taos,2072
Hazel Green,Wolfe,281
Trexlertown,Lehigh,121
Arroyo Seco,Taos,2327
La Vina,Madera,70
Costilla,Taos,2381
Allenport,Huntingdon,178
Nipinnawasee,Madera,893
San Cristobal,Taos,2266
McConnellstown,Huntingdon,217
Rolling Hills,Madera,113
Lakemont,Blair,359
Talpa,Taos,2147
Saluda,Middlesex,30
Foot of Ten,Blair,337
Ute Park,Colfax,2265
Deltaville,Middlesex,6
Emlyn,Whitley,296
Grazierville,Blair,286
Auxier,Floyd,188
Greenwood,Blair,361
Pleasant View,Whitley,304
Betsy Layne,Floyd,198
East Freedom,Blair,308
Rockholds,Whitley,300
Cumberland,Cumberland,139
Northwood,Blair,305
Fancy Farm,Graves,134
Freeburn,Pike,221
Lake Mohawk,Carroll,367
Farmington,Graves,171
Virgie,Pike,275
Mundys Corner,Cambria,577
Lowes,Graves,143
Rosine,Ohio,171
Riverside,Cambria,375
Pryorsburg,Graves,127
Buffalo,Larue,228
Revloc,Cambria,629
Sedalia,Graves,156
Magnolia,Larue,262
Blandburg,Cambria,641
Symsonia,Graves,124
Sandston,Henrico,51
Dunlo,Cambria,670
Marrowbone,Cumberland,196
La Honda,San Mateo,119
Candlewood Lake,Morrow,417
Dexter,Calloway,135
Loma Mar,San Mateo,74
Iberia,Morrow,329
Cayce,Fulton,121
Pescadero,San Mateo,12
New Hampshire,Auglaize,316
Lucien,Noble,341
Beech Grove,McLean,125
Saint Johns,Auglaize,307
Bison,Garfield,381
Bradenville,Westmoreland,335
Franklin,Crawford,302
Chester,Major,523
Chicopee,Crawford,281
Isabella,Major,397
Hostetter,Westmoreland,353
Hardwick,Kings,76
Millwood,Westmoreland,362
Onton,Webster,139
Bear Creek,Merced,58
Mora,Mora,2186
Fellsburg,Westmoreland,332
Level Green,Westmoreland,315
New Kent,New Kent,41
Watrous,Mora,1957
Webster,Westmoreland,232
Waves,Dare,1
Big Island,Bedford,223
Calumet,Westmoreland,305
Swain,Newton,627
Montvale,Bedford,295
Loyalhanna,Westmoreland,302
Conchas,San Miguel,1317
Central,Washington,1601
North Vandergrift,Westmoreland,243
Pine Valley,Washington,1992
East Pecos,San Miguel,2114
Norvelt,Westmoreland,309
Veyo,Washington,1362
Rowe,San Miguel,2079
Collinsburg,Westmoreland,238
Monmouth,Fresno,84
San Jose,San Miguel,1862
Wyano,Westmoreland,298
West Park,Fresno,81
Homestead Valley,San Bernardino,1027
Yukon,Westmoreland,284
Manitou,Hopkins,125
Greenacres,Kern,116
Mammoth,Westmoreland,338
Enon,Chesterfield,13
Greenfield,Kern,107
Bethel,Berks,173
Cherokee Strip,Kern,101
Woodlake,Chesterfield,76
Blandon,Berks,116
Edmundson Acres,Kern,148
Crayne,Crittenden,195
Bowers,Berks,137
Fuller Acres,Kern,128
Tolu,Crittenden,115
Douglassville,Berks,59
Mexican Colony,Kern,101
Gwynn,Mathews,2
Frystown,Berks,142
Smith Corner,Kern,101
Mathews,Mathews,2
Salus,Johnson,599
Amelia Court House,Amelia,116
Hereford,Berks,138
Smyrna,Pope,283
Mertztown,Berks,142
Charles City,Charles City,5
Cherokee,Swain,605
Mohrsville,Berks,104
Milton,Sumner,449
Morgantown,Berks,183
Dale,Pottawatomie,316
Summersville,Green,245
Mount Aetna,Berks,191
Whitesboro,Le Flore,210
Hardyville,Hart,214
Oley,Berks,135
Arpelar,Pittsburg,228
Diablock,Perry,279
Rehrersburg,Berks,177
Tigerville,Greenville,306
Jeff,Perry,279
Schubert,Berks,192
Ware Place,Greenville,270
Concord,Campbell,269
Shartlesville,Berks,173
Arcadia,Spartanburg,246
Burna,Livingston,167
Stony Creek Mills,Berks,115
Clifton,Spartanburg,185
Glenvar,Roanoke,332
Stouchsburg,Berks,132
Converse,Spartanburg,216
Beechmont,Muhlenberg,151
Alsace Manor,Berks,277
Cross Anchor,Spartanburg,204
Dunmor,Muhlenberg,180
Baumstown,Berks,88
Enoree,Spartanburg,178
Conejos,Conejos,2409
Gouglersville,Berks,228
Fairforest,Spartanburg,259
Bethel Manor,York,5
Hyde Park,Berks,97
Fingerville,Spartanburg,271
Oneida,Clay,237
Kempton,Berks,130
Glendale,Spartanburg,211
Riverton,Cherokee,254
New Jerusalem,Berks,274
Gramling,Spartanburg,302
Lowell,Cherokee,260
New Schaefferstown,Berks,146
Catawba,York,174
Springville,Tazewell,810
Walnuttown,Berks,119
McIntosh,Torrance,1872
Gratton,Tazewell,851
Gibsonia,Allegheny,316
Tome,Valencia,1472
Prince George,Prince George,40
Allison Park,Allegheny,268
Wallace,Marlboro,46
Templeton,Prince George,46
Bairdford,Allegheny,336
Sims,Montgomery,221
Bakerstown,Allegheny,331
Bland,Bland,743
Story,Montgomery,214
Boston,Allegheny,232
Nottoway Court House,Nottoway,128
Clinton,Allegheny,368
Lane,Atoka,177
Mayking,Letcher,367
Tuskahoma,Pushmataha,183
Enlow,Allegheny,295
Millstone,Letcher,378
Boykin,Kershaw,50
Glenshaw,Allegheny,333
Payne Gap,Letcher,537
Lydia,Darlington,64
Greenock,Allegheny,296
Scotland,Surry,6
Bee,Johnston,212
Harwick,Allegheny,288
Henry Fork,Franklin,377
Eagletown,McCurtain,121
Imperial,Allegheny,296
Bandana,Ballard,107
Gadsden,Richland,45
Noblestown,Allegheny,282
Hopkins,Richland,50
Rennerdale,Allegheny,297
Lovelaceville,Ballard,112
Lebanon,Marshall,206
Sturgeon,Allegheny,287
Plano,Warren,186
Berlin,Holmes,394
Albany,Bryan,181
Summer Shade,Metcalfe,273
Lake Buckhorn,Holmes,247
Blue,Bryan,174
Hiseville,Barren,214
Walnut Creek,Holmes,362
Fairview,Christian,195
Cartwright,Bryan,203
Winesburg,Holmes,398
Gracey,Christian,155
Grant,Choctaw,142
Dundee,Tuscarawas,314
Dante,Russell,537
Swink,Choctaw,149
Sandyville,Tuscarawas,294
Blairs,Pittsylvania,206
Midway,Chaves,1089
Wiconsico,Dauphin,210
Garnet,Riverside,217
Motley,Pittsylvania,246
Plumsteadville,Bucks,179
Spinnerstown,Bucks,170
Mount Hermon,Pittsylvania,209
Mountain Center,Riverside,1377
Pottery Addition,Jefferson,209
Oasis,Riverside,-44
Lunenburg,Lunenburg,155
Apple Valley,Knox,343
Alcolu,Clarendon,38
Sussex,Sussex,33
Bladensburg,Knox,293
Graniteville,Aiken,71
Ivanhoe,Wythe,630
Howard,Knox,275
Warrenville,Aiken,71
Gilbertsville,Marshall,107
East Liberty,Logan,346
Monument,Lea,1098
Artemus,Knox,318
Lewistown,Logan,309
Macedonia,Pickens,103
Flat Lick,Knox,317
Raymond,Union,326
Russellville,Berkeley,24
Cawood,Harlan,403
Newport,Shelby,296
Mount Laguna,San Diego,1825
Coldiron,Harlan,345
Atlasburg,Washington,334
Potrero,San Diego,712
Kenvir,Harlan,444
Bulger,Washington,366
Pathfork,Harlan,378
Eighty Four,Washington,314
Eucalyptus Hills,San Diego,203
McMullin,Smyth,669
Islandton,Colleton,19
Seven Mile Ford,Smyth,605
Jacksonboro,Colleton,7
Knoxville,Crawford,150
Coyote Flats,Johnson,272
Lawtell,Saint Landry,18
DeLisle,Harrison,6
Henderson Point,Harrison,2
Climbing Hill,Woodbury,346
Aucilla,Jefferson,24
Joffre,Washington,306
Garden City,Hardin,366
Lamont,Jefferson,19
Friendship,Scioto,167
Amsterdam,Gallatin,1355
Langeloth,Washington,374
Lloyd,Jefferson,25
Huntington,Hampshire,126
McDermott,Scioto,178
Churchill,Gallatin,1392
Paris,Washington,374
West Valley,Cattaraugus,464
Wacissa,Jefferson,12
Minford,Scioto,200
Potter Valley,Mendocino,289
Jardine,Park,1967
Slovan,Washington,315
Waukeenah,Jefferson,59
Mitchell,Madison,130
Apple Canyon Lake,Jo Daviess,260
Byrnedale,Elk,370
Redwood Valley,Mendocino,220
Knollwood,Lake,215
Avoca,Lawrence,190
Erwinville,West Baton Rouge,7
Wylandville,Washington,308
Mole Lake,Forest,473
Force,Elk,375
Home,Marshall,409
Watson,Livingston,21
Fredericktown,Washington,237
Mansfield,Brown,395
Arlington,Carbon,2349
Bull Run Mountain Estates,Prince William,162
James City,Elk,596
Baileyville,Nemaha,400
Muse,Washington,322
Lubec,Washington,10
Glen Aubrey,Broome,302
Buckhall,Prince William,95
Hosford,Liberty,37
Kersey,Elk,602
Blandford,Hampden,437
Independent Hill,Prince William,126
Lake Mystic,Liberty,51
Bendena,Doniphan,339
West Alexander,Washington,404
Colebrook,Coos,313
Weedville,Elk,356
Chester,Hampden,180
Marumsco,Prince William,27
Sumatra,Liberty,8
Thornport,Perry,274
West Stewartstown,Coos,320
Robertsville,Monmouth,41
Wilcox,Elk,465
Russell,Hampden,100
Neabsco,Prince William,27
Wildwood,Hardin,36
Hannibal,Monroe,199
Blue Hill,Hancock,7
Canal Lewisville,Coshocton,232
Beulah Beach,Erie,183
Watkins,Benton,253
Potomac Mills,Prince William,62
Catahoula,Saint Martin,4
Sardis,Monroe,203
Castine,Hancock,25
Fresno,Coshocton,242
Crystal Rock,Erie,177
Cherry Hill,Prince William,14
Stone City,Jones,250
Bayou Goula,Iberville,6
Van Bibber Lake,Putnam,245
Southwest Harbor,Hancock,11
Lake California,Tehama,131
Rudolph,Wood,208
County Center,Prince William,111
Breesport,Chemung,335
Crescent,Iberville,4
Pine Valley,Chemung,284
Heritage Lake,Putnam,262
Winter Harbor,Hancock,8
Las Flores,Tehama,77
Stony Ridge,Wood,196
Big Thicket Lake Estates,Liberty,53
Guinda,Yolo,110
Erin,Chemung,385
Langleyville,Christian,186
Vale,Butte,844
Paskenta,Tehama,230
Prospect Park,Cameron,316
Hull,Liberty,21
Vassar,Osage,337
Green Mountain,Marshall,302
Paynes Creek,Tehama,564
Derby,Pickaway,279
Crocker,Clark,546
Gillis,Calcasieu,8
Masthope,Pike,208
Flint Hill,Rappahannock,195
Grand Detour,Ogle,200
Proberta,Tehama,77
Arlington,Rush,281
Hayes,Calcasieu,3
Oval,Lycoming,248
Waverly,Codington,607
Richfield,Tehama,83
Milroy,Rush,294
Sperryville,Rappahannock,210
Watchtower,Ulster,105
Kimmell,Noble,279
Fort Hill,Polk,88
Starks,Calcasieu,9
Vina,Tehama,64
Manilla,Rush,272
Chester Gap,Rappahannock,474
Lake Latonka,Mercer,361
Lacassine,Jefferson Davis,6
Chazy,Clinton,45
Gerber,Tehama,70
Stagecoach,Lyon,1325
Belmont Estates,Rockingham,427
Prestbury,Kane,209
Reynolds Heights,Mercer,317
Roanoke,Jefferson Davis,8
West Chazy,Clinton,92
Kilbourne,Delaware,279
Massanetta Springs,Rockingham,446
Mount Briar,Washington,176
Ridgeville Corners,Henry,224
Branch,Acadia,12
Falls Village,Litchfield,196
Eakles Mill,Washington,129
Rote,Clinton,230
Shell,Big Horn,1286
Radnor,Delaware,285
Broomes Island,Calvert,3
Egan,Acadia,7
Lakeville,Litchfield,216
Eckhart Mines,Allegany,516
Lamar,Clinton,241
McDade,Bastrop,168
Norfolk,Litchfield,354
Paul Smiths,Franklin,510
Tippecanoe,Harrison,275
Calvert Beach,Calvert,15
Cresaptown,Allegany,233
McElhattan,Clinton,176
Yardville,Mercer,18
Chesapeake Ranch Estates,Calvert,32
Lemannville,Ascension,7
Sharon,Litchfield,216
Kelly,Teton,2028
Drum Point,Calvert,13
Prairieville,Ascension,7
Thomaston,Litchfield,116
Darlington,Harford,99
Rauchtown,Clinton,270
Defiance,Bedford,311
Saint Onge,Lawrence,1046
Steinhatchee,Taylor,2
Long Beach,Calvert,10
Pylesville,Harford,118
Watertown,Litchfield,177
Indianola,Humboldt,13
Panacea,Wakulla,2
Stonerstown,Bedford,258
Schroon Lake,Essex,265
Mays Lick,Mason,269
Lutherville,Baltimore,125
Brooklyn,Windham,86
Manila,Humboldt,4
Day,Lafayette,26
Earlston,Bedford,330
Johnson Siding,Pennington,1307
Bucyrus,Miami,339
Timonium,Baltimore,124
Harmony,Providence,124
Phillipsville,Humboldt,86
Ashland,Grafton,168
Hillsdale,Miami,272
Lansdowne,Baltimore,26
Fannett,Jefferson,6
Blue Ball,Lancaster,134
Chepachet,Providence,131
Redcrest,Humboldt,115
Sabillasville,Frederick,334
Glidden,Colorado,72
Garrison,Lewis,164
Bethlehem,Grafton,438
Brownstown,Lancaster,107
Clayville,Providence,136
Samoa,Humboldt,7
Linganore,Frederick,133
Sorrel,Saint Mary,4
Madison,Dorchester,0
Canaan,Grafton,292
Fort Loudon,Franklin,195
Foster Center,Providence,167
Crown,Clarion,503
Good Hope,Fayette,281
Lake Medina Shores,Bandera,358
Taylors Island,Dorchester,1
Lincoln,Grafton,251
Marion,Franklin,194
Greens Landing,Bradford,232
Leeper,Clarion,500
Healy,Lane,870
Mountain Lakes,Grafton,243
Scotland,Franklin,214
Arnot,Tioga,513
Pancoastburg,Fayette,264
Oak Island,Chambers,2
Tylersburg,Clarion,477
Marienthal,Wichita,980
Waldron,Shelby,251
Lake Dunlap,Guadalupe,180
North Woodstock,Grafton,225
Blue Ridge Summit,Franklin,410
Millerton,Tioga,361
Vowinckel,Clarion,496
Odin,Barton,561
Carbon Hill,Hocking,215
Macdona,Bexar,191
Pen Mar,Franklin,379
Rew,McKean,687
Mocanaqua,Luzerne,169
Bartlett,Carroll,203
Bryantown,Charles,44
Haydenville,Hocking,215
D'Hanis,Medina,269
Foster Brook,McKean,435
Pardeesville,Luzerne,509
Center Ossipee,Carroll,159
State Line,Franklin,216
Pomfret,Charles,58
Hide-A-Way Hills,Hocking,289
Fort Clark Springs,Kinney,351
Weston,Luzerne,346
Center Sandwich,Carroll,202
Cairnbrook,Somerset,675
Roulette,Potter,466
Redvale,Montrose,1976
Rockbridge,Hocking,229
Melvin Village,Carroll,158
Edie,Somerset,609
Sweden Valley,Potter,545
Rosharon,Brazoria,15
Shavertown,Luzerne,313
Brightwood,Madison,179
Georgetown,Luzerne,213
Little Hocking,Washington,195
Sanbornville,Carroll,176
Brownsville,Licking,289
Gouldsboro,Wayne,582
Morriston,Levy,19
Roxbury,McPherson,408
Silkworth,Luzerne,370
Newport,Washington,195
Suissevale,Carroll,186
Otwell,Pike,152
Raleigh,Levy,22
White Mills,Wayne,289
Marne,Licking,244
West Nanticoke,Luzerne,159
Vincent,Washington,235
Union,Carroll,148
Leming,Atascosa,144
Columbus,Warren,428
Etna,Licking,323
Crenshaw,Jefferson,450
Dubois,Dubois,154
Waterford,Washington,199
Winfred,Lake,522
Matagorda,Matagorda,2
Russell,Warren,381
Rosewood,Champaign,345
Ruth,Trinity,831
Elizaville,Fleming,270
Reno,Washington,197
Fedora,Miner,418
Placedo,Victoria,17
Starbrick,Warren,364
Cochranville,Chester,179
Atwater,Portage,344
Mechanicsville,Saint Mary's,48
Smartsville,Yuba,204
South Windham,Cumberland,37
Quail Creek,Victoria,32
Westwood,Chester,112
Sparkill,Rockland,16
Austinburg,Ashtabula,247
Piney Point,Saint Mary's,3
Virginia City,Storey,1889
Bowdoinham,Sagadahoc,23
Seco Mines,Maverick,224
Buffalo,Guernsey,261
Celeryville,Huron,287
Rochester,Cedar,203
Saint George Island,Saint Mary's,0
Tecumseh,Vigo,169
Old Forge,Herkimer,529
Port O'Connor,Calhoun,2
Kimbolton,Guernsey,244
Collins,Huron,267
Tall Timbers,Saint Mary's,3
Coalmont,Clay,192
Loomis,Isabella,247
Tilden,McMullen,76
Como,Whiteside,192
Lake Holiday,Montgomery,236
Fremont,Wayne,2207
Saint Clement,Pike,248
Pottersville,Warren,258
Holiday Lakes,Huron,280
Juliustown,Burlington,31
Teasdale,Wayne,2178
Levant,Thomas,1009
North Creek,Warren,314
New Haven,Huron,284
Tivoli,Refugio,9
Amana,Iowa,226
Cannonsburg,Boyd,185
Elbert,Elbert,2049
Bolton Landing,Warren,110
Harlan,Allen,239
Holiday Beach,Aransas,1
Conroy,Iowa,268
Bannock,Belmont,306
Ruckersville,Greene,190
Guffey,Park,2639
Glencoe,Belmont,253
Alton,Belknap,165
Hoagland,Allen,251
Lamar,Aransas,3
High Amana,Iowa,234
Twin Lakes,Greene,180
Lafferty,Belmont,323
Belmont,Belknap,166
Bascom,Seneca,236
Banquete,Nueces,25
Middle Amana,Iowa,226
Hockingport,Athens,188
Harriston,Augusta,356
Bishopville,Worcester,3
Lansing,Belmont,215
New Hampton,Belknap,154
Flat Rock,Seneca,243
Windsor,Indian River,2
South Amana,Iowa,237
Millfield,Athens,207
Fort Seneca,Seneca,213
West Amana,Iowa,237
New Marshfield,Athens,250
Ricardo,Kleberg,16
Strawberry,Tuolumne,1623
Wolfhurst,Belmont,206
Verona,Oneida,151
Kansas,Seneca,222
East Amana,Iowa,230
Groveland,Tuolumne,869
Stewart,Athens,204
Riviera,Kleberg,13
Melmore,Seneca,263
Homestead,Iowa,263
Duncan Falls,Muskingum,216
Durhamville,Oneida,132
Phoenix Lake,Tuolumne,742
Blodgett Landing,Merrimack,340
New Salisbury,Harrison,222
East Fultonham,Muskingum,234
Old Fort,Seneca,209
Frytown,Johnson,245
Graniteville,Nevada,1517
Sarita,Kenedy,11
Bradford,Merrimack,209
King George,King George,65
Westgate,Palm Beach,4
Allport,Clearfield,492
Kerrtown,Crawford,327
Kingvale,Nevada,1869
Trinway,Muskingum,225
Greene,Kent,128
Needmore,Fulton,191
North San Juan,Nevada,644
The Acreage,Palm Beach,5
Bigler,Clearfield,516
Passapatanzy,King George,57
Loudon,Merrimack,116
Rolling Prairie,LaPorte,252
Lake Petersburg,Menard,182
Hargill,Hidalgo,20
Dahlgren Center,King George,5
New London,Merrimack,392
Grassflat,Clearfield,448
Rough and Ready,Nevada,576
Farmers,Rowan,205
Hawk Run,Clearfield,448
Soda Springs,Nevada,2063
Warner,Merrimack,135
Hudson Lake,LaPorte,235
Saint Bernice,Vermillion,176
Lutsen,Cook,204
Washington,Nevada,805
Blanford,Vermillion,175
Brule,Douglas,301
Hanna,LaPorte,215
Plainfield,Sullivan,159
Lake of the Woods,Orange,73
Kylertown,Clearfield,503
Bourneville,Ross,207
Milton,Strafford,137
Gordon,Douglas,315
Fish Lake,LaPorte,214
Arnold,Fayette,286
Harris,Anderson,305
Morrisdale,Clearfield,500
Richmond Dale,Ross,181
Chalkhill,Fayette,631
Howe,LaGrange,269
Welda,Anderson,335
Milton Mills,Strafford,138
Cable,Bayfield,417
Oklahoma,Clearfield,439
Burr Oak,Winneshiek,376
Cornucopia,Bayfield,190
Ames,Dodge,374
Lake Wilderness,Spotsylvania,73
Lake Holiday,Frederick,280
West Decatur,Clearfield,464
Deer Lake,Fayette,602
Drummond,Bayfield,397
Fairhope,Fayette,287
Effort,Monroe,236
Shawneeland,Frederick,336
Nicasio,Marin,59
Neapolis,Lucas,204
Orin,Converse,1434
Grand View,Bayfield,324
Farmington,Fayette,561
Herbster,Bayfield,190
Saylorsburg,Monroe,204
Grantville,Jefferson,266
Marin City,Marin,8
Sanborn,Niagara,193
Curtice,Ottawa,181
Smock,Fayette,265
Iron River,Bayfield,337
Sun Valley,Monroe,361
Buford,Highland,289
Mountain House,San Joaquin,18
Hamlin,Monroe,95
Lakeside,Ottawa,185
Star Junction,Fayette,310
Port Wing,Bayfield,206
Litchfield,Lassen,1239
Milford,Lassen,1287
Savage,Howard,64
Terminous,San Joaquin,-2
Clarkson,Monroe,130
Williston,Ottawa,181
South Uniontown,Fayette,329
Clam Lake,Ashland,431
Nubieber,Lassen,1256
Loma,Mesa,1374
Thornton,San Joaquin,4
Mountain Gate,Shasta,274
Belleplain,Cape May,15
Savannah,Wayne,128
Pettisville,Fulton,231
Bear Rocks,Fayette,606
Glidden,Ashland,464
Waterloo,San Joaquin,18
Old Station,Shasta,1336
Penryn,Placer,191
Acampo,San Joaquin,16
Pultneyville,Wayne,83
Tedrow,Fulton,234
Allison,Fayette,331
Marengo,Ashland,232
Dewart,Northumberland,147
Miamiville,Clermont,178
Woodbridge,San Joaquin,13
North Rose,Wayne,118
Baltic,New London,20
Edenborn,Fayette,353
Copper Harbor,Keweenaw,189
Dalmatia,Northumberland,128
Shenandoah Retreat,Clarke,166
Lemont Furnace,Fayette,317
Eagle Harbor,Keweenaw,189
Esmont,Albemarle,138
Marion,Wayne,140
Gales Ferry,New London,13
Ronco,Fayette,314
Free Union,Albemarle,179
Dollar Bay,Houghton,191
Williamson,Wayne,135
Shelby,Lake,195
Unionville,Butler,390
Lake Lorelei,Brown,289
Amberg,Marinette,273
Darbydale,Franklin,266
Ivy,Albemarle,159
Wheeler,Porter,203
Kiskimere,Armstrong,282
Friendship,Anne Arundel,44
University of Virginia,Albemarle,173
Dunbar,Marinette,356
Baker,White Pine,1619
Ontario,Wayne,134
Goodman,Marinette,424
Ruth,White Pine,2094
Freedom,Lincoln,1761
Shorewood Forest,Porter,220
Templeton,Armstrong,259
Galesville,Anne Arundel,3
Warm Springs,Bath,691
Nordic,Lincoln,1777
Alvordton,Williams,261
Vaughnsville,Putnam,232
Pembine,Marinette,296
Lafayette,Madison,308
Wakarusa,Shawnee,290
Hot Springs,Bath,682
Caroga Lake,Fulton,451
Baileys Harbor,Door,182
Tuppers Plains,Meigs,224
Lake Land'Or,Caroline,70
Plumwood,Madison,307
Kunkle,Williams,268
Damascus,Mahoning,369
Pulaski,Williams,232
Albrightsville,Carbon,459
Lake Caroline,Caroline,70
Cashtown,Adams,230
Ellison Bay,Door,181
Cynthiana,Pike,296
Hampton Beach,Rockingham,3
McKnightstown,Adams,196
Little Sturgeon,Door,183
Stockdale,Pike,219
Newfields,Rockingham,20
Lake Seneca,Williams,284
Frizzleburg,Lawrence,325
Parkers Settlement,Posey,136
Floradale,Adams,194
Gabbs,Nye,1440
Bay Port,Huron,183
Saint Meinrad,Spencer,135
Seabrook Beach,Rockingham,3
Cannondale,Fairfield,68
New Bedford,Lawrence,349
West Pittsburg,Lawrence,262
Heidlersburg,Adams,174
Belleview,Boone,155
Cerrillos Hoyos,Ponce,111
Hatfield,Spencer,118
Amherst,Hillsborough,80
Byram,Fairfield,16
Chewton,Lawrence,276
Yoder,Reno,469
Bennington,Hillsborough,200
Cos Cob,Fairfield,16
Hunterstown,Adams,171
Francisville,Boone,248
Vayas,Ponce,61
Beaverdale,Des Moines,213
Blue Ridge Shores,Louisa,103
Goffstown,Hillsborough,95
Glenville,Fairfield,50
