NAME,COUNTY,ELEV_IN_M
Courtenay,Stutsman,466
La Feria North,Cameron,18
Spiritwood Lake,Stutsman,441
Davis Dam,Mohave,162
Streeter,Stutsman,589
Ephraim,Door,201
Yale,Saint Clair,242
Bismarck,Burleigh,517
Wayne,Wayne,200
Wing,Burleigh,580
Center,Oliver,602
Westland,Wayne,203
Wimbledon,Barnes,454
Woodhaven,Wayne,184
Wyandotte,Wayne,177
Rogers,Barnes,435
Rolette,Rolette,496
Sanborn,Barnes,442
Rolla,Rolette,553
Sibley,Barnes,389
Saint John,Rolette,593
Oxbow,Cass,280
Westhope,Bottineau,458
Ayr,Cass,366
Willow City,Bottineau,448
West Fargo,Cass,274
Souris,Bottineau,461
Tower City,Cass,356
Bathgate,Pembina,250
Belfield,Stark,788
South Heart,Stark,758
Cavalier,Pembina,271
Saint Thomas,Pembina,256
Taylor,Stark,761
Wakefield,Gogebic,469
Walhalla,Pembina,299
Bisbee,Towner,485
Bessemer,Gogebic,435
Ironwood,Gogebic,459
Sarles,Cavalier,482
Wales,Cavalier,478
Strasburg,Emmons,552
Columbus,Burke,589
Berlin,LaMoure,448
Sheldon,Ransom,329
Sherwood,Renville,501
Abercrombie,Richland,286
Tolley,Renville,565
Barney,Richland,315
Berthold,Ward,637
Ryder,Ward,641
Wyndmere,Richland,323
Sawyer,Ward,468
Christine,Richland,283
Colfax,Richland,293
Surrey,Ward,497
Wildrose,Williams,686
Walcott,Richland,291
Williston,Williams,572
Hurley,Iron,456
Montreal,Iron,487
Tioga,Williams,684
Balfour,McHenry,492
Anson,Somerset,73
Bingham,Somerset,111
Bantry,McHenry,445
Bergen,McHenry,481
Fairfield,Somerset,43
Hartland,Somerset,76
Towner,McHenry,450
Madison,Somerset,92
White Earth,Mountrail,639
Norridgewock,Somerset,61
Ross,Mountrail,702
Stanley,Mountrail,684
Pittsfield,Somerset,64
Balta,Pierce,473
Skowhegan,Somerset,52
Dover-Foxcroft,Piscataquis,110
Wolford,Pierce,494
Rugby,Pierce,472
Greenville,Piscataquis,318
Guilford,Piscataquis,115
Devils Lake,Ramsey,436
Churchs Ferry,Ramsey,442
Milo,Piscataquis,97
Starkweather,Ramsey,454
Manistique,Schoolcraft,183
Selfridge,Sioux,666
Adams,Walsh,479
Conway,Walsh,299
Solen,Sioux,508
York,Benson,491
Caspian,Iron,456
Warwick,Benson,448
Crystal Falls,Iron,449
Tolna,Nelson,445
Gaastra,Iron,494
Thompson,Grand Forks,265
Iron River,Iron,461
Watford City,McKenzie,646
Dexter,Penobscot,127
Benedict,McLean,634
East Millinocket,Penobscot,112
Wilton,McLean,662
Hampden,Penobscot,35
Coleharbor,McLean,581
Ruso,McLean,636
Howland,Penobscot,51
Turtle Lake,McLean,576
Lincoln,Penobscot,67
Underwood,McLean,616
Milford,Penobscot,43
Washburn,McLean,535
Millinocket,Penobscot,113
Newport,Penobscot,63
Orono,Penobscot,38
Eagle River,Vilas,502
Cayuga,Sargent,347
Cogswell,Sargent,397
Rutland,Sargent,374
Ashley,McIntosh,614
Wishek,McIntosh,619
Zeeland,McIntosh,614
Scranton,Bowman,847
Norway,Dickinson,291
Iron Mountain,Dickinson,347
Kingsford,Dickinson,335
Siren,Burnett,304
Webster,Burnett,299
Grantsburg,Burnett,291
Winter,Sawyer,420
Hayward,Sawyer,363
Exeland,Sawyer,365
Couderay,Sawyer,384
Belknap,Johnson,123
Goreville,Johnson,223
Cypress,Johnson,116
New Burnside,Johnson,165
Greer,Greenville,309
Simpson,Johnson,118
Five Points,Hoke,106
Cobden,Union,179
Ashley Heights,Hoke,133
Dongola,Union,120
Bowmore,Hoke,79
Mill Creek,Union,115
Silver City,Hoke,76
Zalma,Bollinger,113
Rockfish,Hoke,66
Sedgewickville,Bollinger,194
Inman Mills,Spartanburg,280
Arcola,Dade,312
Boiling Springs,Spartanburg,280
Dadeville,Dade,331
Saxon,Spartanburg,261
South Greenfield,Dade,294
Startex,Spartanburg,242
Diggins,Webster,504
Valley Falls,Spartanburg,243
Duquesne,Jasper,326
Mayo,Spartanburg,271
Joppa,Massac,108
Roebuck,Spartanburg,228
East Cape Girardeau,Alexander,102
Gaffney,Cherokee,239
McClure,Alexander,104
Hamlet,Richmond,91
Tamms,Alexander,104
India Hook,York,194
Thebes,Alexander,104
Lake Wylie,York,178
East Bernstadt,Laurel,365
Lesslie,York,213
Karnak,Pulaski,104
Newport,York,213
Pulaski,Pulaski,105
Riverview,York,196
New Grand Chain,Pulaski,125
Forrest City,Saint Francis,77
Olmsted,Pulaski,109
Harkers Island,Carteret,3
Ullin,Pulaski,104
Adona,Perry,116
Mill Spring,Wayne,133
Arial,Pickens,316
Halltown,Lawrence,358
Easley,Pickens,325
Hoberg,Lawrence,355
Scott,Lonoke,76
Freistatt,Lawrence,408
Austin,Lonoke,75
Blodgett,Scott,99
England,Lonoke,70
Haywood City,Scott,107
Cabot,Lonoke,91
Kelso,Scott,134
Irwin,Lancaster,150
Lambert,Scott,103
Utica,Oconee,268
Commerce,Scott,101
Gibson,Pulaski,81
Diehlstadt,Scott,99
Hensley,Pulaski,79
Vanduser,Scott,95
Sweet Home,Pulaski,83
