NAME,COUNTY,ELEV_IN_M,ELEV_IN_FT
Sterling,Rice,500,1640
Ben Avon,Allegheny,258,846
New Stanton,Westmoreland,298,978
Burlington,Coffey,315,1033
North Belle Vernon,Westmoreland,278,912
Fairview Beach,King George,6,20
Ben Avon Heights,Allegheny,354,1161
North Irwin,Westmoreland,292,958
Garnett,Anderson,326,1070
Bethel Park,Allegheny,364,1194
Oklahoma,Westmoreland,293,961
Larned,Pawnee,611,2005
Blawnox,Allegheny,245,804
Penn,Westmoreland,298,978
Fairmount,Somerset,1,3
Scottdale,Westmoreland,317,1040
Garden City,Finney,865,2838
Brackenridge,Allegheny,254,833
Seward,Westmoreland,347,1138
Staunton,Staunton (city),424,1391
Braddock,Allegheny,232,761
Smithton,Westmoreland,242,794
Halstead,Harvey,424,1391
Braddock Hills,Allegheny,302,991
South Greensburg,Westmoreland,325,1066
Eureka,Greenwood,329,1079
Southwest Greensburg,Westmoreland,332,1089
Hutchinson,Reno,468,1535
Sutersville,Westmoreland,285,935
Bryce Canyon City,Garfield,2336,7664
Bradford Woods,Allegheny,370,1214
Vandergrift,Westmoreland,268,879
Augusta,Butler,389,1276
Brentwood,Allegheny,370,1214
West Leechburg,Westmoreland,306,1004
El Dorado,Butler,409,1342
West Newton,Westmoreland,234,768
Bridgeville,Allegheny,262,860
Kinsley,Edwards,662,2172
Youngstown,Westmoreland,327,1073
Carnegie,Allegheny,236,774
Charlottesville,Charlottesville (city),142,466
Youngwood,Westmoreland,291,955
Castle Shannon,Allegheny,316,1037
Yates Center,Woodson,345,1132
Trafford,Westmoreland,260,853
Chalfant,Allegheny,314,1030
Humboldt,Allen,299,981
Bally,Berks,143,469
Cheswick,Allegheny,233,764
Iola,Allen,296,971
Churchill,Allegheny,323,1060
Clairton,Allegheny,275,902
Coraopolis,Allegheny,220,722
Bechtelsville,Berks,123,404
La Harpe,Allen,315,1033
Bernville,Berks,98,322
Crafton,Allegheny,267,876
Fort Scott,Bourbon,258,846
Birdsboro,Berks,49,161
Dormont,Allegheny,363,1191
Dodge City,Ford,760,2493
Boyertown,Berks,126,413
Bel Aire,Sedgwick,421,1381
Centerport,Berks,101,331
Dravosburg,Allegheny,228,748
Wichita,Sedgwick,397,1302
Fleetwood,Berks,135,443
Duquesne,Allegheny,280,919
Pratt,Pratt,575,1886
Hamburg,Berks,123,404
East McKeesport,Allegheny,345,1132
Covington,Covington (city),381,1250
Kenhorst,Berks,104,341
East Pittsburgh,Allegheny,279,915
Lexington,Lexington (city),324,1063
Kutztown,Berks,129,423
Edgewood,Allegheny,298,978
Greensburg,Kiowa,681,2234
Laureldale,Berks,118,387
Edgeworth,Allegheny,222,728
Haviland,Kiowa,657,2155
Leesport,Berks,90,295
Kingman,Kingman,464,1522
Lenhartsville,Berks,118,387
Elizabeth,Allegheny,230,755
Fredonia,Wilson,273,896
Lyons,Berks,140,459
Emsworth,Allegheny,221,725
Chanute,Neosho,292,958
Mohnton,Berks,153,502
Mount Penn,Berks,149,489
Frontenac,Crawford,291,955
Etna,Allegheny,226,741
Reading,Berks,78,256
Girard,Crawford,299,981
Forest Hills,Allegheny,293,961
Robesonia,Berks,128,420
Pittsburg,Crawford,287,942
Glassport,Allegheny,232,761
Saint Lawrence,Berks,89,292
Richmond,Richmond (city),64,210
Shillington,Berks,101,331
Glenfield,Allegheny,224,735
Ettrick,Chesterfield,32,105
Shoemakersville,Berks,108,354
Green Tree,Allegheny,367,1204
Haysville,Allegheny,220,722
Sinking Spring,Berks,123,404
Heidelberg,Allegheny,251,823
Homestead,Allegheny,238,781
Strausstown,Berks,180,591
Ingram,Allegheny,283,928
Topton,Berks,147,482
Leetsdale,Allegheny,218,715
Wernersville,Berks,113,371
Liberty,Allegheny,277,909
West Reading,Berks,92,302
Lincoln,Allegheny,330,1083
McKeesport,Allegheny,231,758
Womelsdorf,Berks,123,404
McKees Rocks,Allegheny,223,732
Wyomissing,Berks,91,299
Fox Chapel,Allegheny,301,988
Millvale,Allegheny,240,787
Mount Oliver,Allegheny,353,1158
Franklin Park,Allegheny,377,1237
Aspinwall,Allegheny,227,745
Munhall,Allegheny,319,1047
North Braddock,Allegheny,308,1010
Oakdale,Allegheny,274,899
Oakmont,Allegheny,236,774
Glen Osborne,Allegheny,232,761
Pennsbury Village,Allegheny,341,1119
Pitcairn,Allegheny,240,787
Pittsburgh,Allegheny,233,764
Pleasant Hills,Allegheny,374,1227
Port Vue,Allegheny,329,1079
Rankin,Allegheny,267,876
Rosslyn Farms,Allegheny,331,1086
Sewickley,Allegheny,226,741
Sewickley Heights,Allegheny,364,1194
Sewickley Hills,Allegheny,348,1142
Sharpsburg,Allegheny,224,735
Springdale,Allegheny,248,814
