NAME,COUNTY,ELEV_IN_M,ELEV_IN_FT
Phelan,San Bernardino,1256,4121
Lake Leelanau,Leelanau,188,617
Cowan,Stanislaus,28,92
Tunnel City,Monroe,323,1060
Lewis,Polk,320,1050
Camptonville,Yuba,861,2825
Pi?on Hills,San Bernardino,1272,4173
Leland,Leelanau,181,594
Mount Hood,Hood River,468,1535
Amherstdale,Logan,273,896
Long Lake,Hamilton,510,1673
Lucerne Valley,San Bernardino,900,2953
Maple City,Leelanau,215,705
Saint Joseph,La Crosse,396,1299
Crane,Harney,1260,4134
Ratliff City,Carter,318,1043
Gene Autry,Carter,223,732
Bromide,Johnston,216,709
Tishomingo,Johnston,204,669
Ravia,Johnston,233,764
Walters,Cotton,305,1001
Devol,Cotton,327,1073
Randlett,Cotton,317,1040
Garvin,McCurtain,150,492
Haworth,McCurtain,122,400
Hayden,Gila,623,2044
Vernon,Wilbarger,361,1184
Quartzsite,La Paz,268,879
Roaring Springs,Motley,764,2507
Lockney,Floyd,999,3278
Edmonson,Hale,1068,3504
Sudan,Lamb,1145,3757
Waurika,Jefferson,273,896
Addington,Jefferson,286,938
Ringling,Jefferson,278,912
Ryan,Jefferson,275,902
Hastings,Jefferson,306,1004
Wichita Falls,Wichita,289,948
Pleasant Valley,Wichita,296,971
Kingston,Marshall,247,810
Bokchito,Bryan,195,640
Achille,Bryan,204,669
Hendrix,Bryan,177,581
Kemp,Bryan,193,633
Kenefic,Bryan,204,669
Boswell,Choctaw,186,610
Fort Towson,Choctaw,141,463
Fairfield,Utah,1487,4879
Dexter,Chaves,1056,3465
Hagerman,Chaves,1043,3422
Lake Arthur,Chaves,1030,3379
San Jacinto,Riverside,477,1565
Genola,Utah,1402,4600
Bridge Creek,Grady,420,1378
Temecula,Riverside,310,1017
Goshen,Utah,1387,4550
Tuttle,Grady,402,1319
Hillrose,Morgan,1269,4163
Alex,Grady,315,1033
Leon,Love,249,817
Log Lane Village,Morgan,1314,4311
Amber,Grady,383,1257
Buckeye,Maricopa,265,869
Fraser,Grand,2615,8579
Pocasset,Grady,364,1194
Scottsdale,Maricopa,383,1257
Granby,Grand,2431,7976
Rush Springs,Grady,412,1352
Grand Lake,Grand,2556,8386
Etowah,Cleveland,334,1096
Surprise,Maricopa,358,1175
Hot Sulphur Springs,Grand,2356,7730
Tempe,Maricopa,360,1181
Dibble,McClain,379,1243
Tolleson,Maricopa,309,1014
Queen Creek,Maricopa,428,1404
Kremmling,Grand,2229,7313
Rosedale,McClain,320,1050
Tehama,Tehama,64,210
Goldsby,McClain,352,1155
Fountain Hills,Maricopa,489,1604
Wray,Yuma,1086,3563
Alderson,Pittsburg,210,689
Yuma,Yuma,1261,4137
Gila Bend,Maricopa,224,735
Crowder,Pittsburg,189,620
Eckley,Yuma,1187,3894
Gilbert,Maricopa,377,1237
Quinton,Pittsburg,186,610
Akron,Washington,1420,4659
Guadalupe,Maricopa,376,1234
Jamestown,Boulder,2111,6926
Indianola,Pittsburg,200,656
Saint Jo,Montague,348,1142
Rangely,Rio Blanco,1595,5233
Kiowa,Pittsburg,220,722
Annona,Red River,114,374
Rocky Ridge,Juab,1521,4990
Wetumka,Hughes,233,764
Detroit,Red River,147,482
Levan,Juab,1620,5315
Dustin,Hughes,218,715
Sadler,Grayson,219,718
Ukiah,Mendocino,193,633
Gerty,Hughes,257,843
Sherman,Grayson,224,735
Willits,Mendocino,424,1391
Horntown,Hughes,257,843
Southmayd,Grayson,224,735
Thornton,Adams,1630,5348
Lamar,Hughes,233,764
Santa Rosa,Guadalupe,1407,4616
Tom Bean,Grayson,250,820
Westminster,Adams,1640,5381
Wellington,Collingsworth,619,2031
Eagle,Eagle,2012,6601
Van Alstyne,Grayson,239,784
Red Cliff,Eagle,2643,8671
Dodson,Collingsworth,546,1791
Whitesboro,Grayson,250,820
Snyder,Kiowa,413,1355
Gypsum,Eagle,1924,6312
Roosevelt,Kiowa,446,1463
Blue River,Summit,3059,10036
Gotebo,Kiowa,436,1430
Breckenridge,Summit,2965,9728
Lone Wolf,Kiowa,479,1572
Dillon,Summit,2777,9111
Dorchester,Grayson,264,866
Granite,Greer,491,1611
Frisco,Summit,2766,9075
Santa Barbara,Santa Barbara,15,49
Wheat Ridge,Jefferson,1664,5459
Pottsboro,Grayson,232,761
Santa Maria,Santa Barbara,66,217
Empire,Clear Creek,2626,8615
Solvang,Santa Barbara,154,505
Howe,Grayson,256,840
Georgetown,Clear Creek,2597,8520
Sunnyside,Carbon,1987,6519
Wilburton,Latimer,201,659
Lindsay,Cooke,242,794
Wellington,Carbon,1650,5413
Red Oak,Latimer,179,587
Spring City,Sanpete,1776,5827
Estancia,Torrance,1862,6109
Fayette,Sanpete,1540,5052
San Clemente,Orange,71,233
Gould,Harmon,497,1631
Willows,Glenn,42,138
Allen,Pontotoc,265,869
San Juan Capistrano,Orange,37,121
Bow Mar,Arapahoe,1682,5518
Santa Ana,Orange,35,115
Roff,Pontotoc,383,1257
Seal Beach,Orange,4,13
Sheridan,Arapahoe,1621,5318
Fitzhugh,Pontotoc,381,1250
Stanton,Orange,20,66
Deer Trail,Arapahoe,1582,5190
Francis,Pontotoc,288,945
Tustin,Orange,43,141
Foxfield,Arapahoe,1754,5755
Texico,Curry,1264,4147
Villa Park,Orange,104,341
Yerington,Lyon,1338,4390
San Buenaventura,Ventura,11,36
Westminster,Orange,12,39
Elmo,Emery,1735,5692
Yorba Linda,Orange,116,381
Santa Paula,Ventura,85,279
Toco,Lamar,173,568
Emery,Emery,1906,6253
Savoy,Fannin,207,679
Simi Valley,Ventura,234,768
Trenton,Fannin,232,761
Wheatland,Yuba,28,92
Thousand Oaks,Ventura,270,886
Dodd City,Fannin,205,673
Flagler,Kit Carson,1506,4941
Ladonia,Fannin,191,627
Larkspur,Douglas,2050,6726
Blair,Jackson,446,1463
Knox City,Knox,466,1529
Elizabeth,Elbert,1974,6476
East Duke,Jackson,432,1417
Scotland,Archer,293,961
Kiowa,Elbert,1944,6378
Lakeside City,Archer,306,1004
Eldorado,Jackson,443,1453
Spur,Dickens,698,2290
Genoa,Lincoln,1708,5604
Elmer,Jackson,399,1309
Seymour,Baylor,393,1289
Hugo,Lincoln,1536,5039
Friendship,Jackson,424,1391
Shallowater,Lubbock,1004,3294
Limon,Lincoln,1639,5377
Headrick,Jackson,415,1362
Slaton,Lubbock,940,3084
Wolfforth,Lubbock,1011,3317
Alma,Park,3158,10361
Faxon,Comanche,339,1112
Ransom Canyon,Lubbock,946,3104
Fletcher,Comanche,422,1384
Sundown,Hockley,1079,3540
Fairplay,Park,3034,9954
Duncan,Greenlee,1114,3655
Hinckley,Millard,1403,4603
Geronimo,Comanche,338,1109
Texarkana,Bowie,91,299
Holden,Millard,1555,5102
Indiahoma,Comanche,408,1339
Wake Village,Bowie,104,341
Kanosh,Millard,1530,5020
Wynnewood,Garvin,275,902
Safford,Graham,889,2917
Elmore City,Garvin,297,974
Leamington,Millard,1442,4731
San Diego,San Diego,19,62
Williams,Colusa,25,82
Erin Springs,Garvin,303,994
San Marcos,San Diego,177,581
Santee,San Diego,107,351
De Beque,Mesa,1509,4951
Foster,Garvin,307,1007
Solana Beach,San Diego,22,72
Loomis,Placer,123,404
Katie,Garvin,297,974
Vista,San Diego,99,325
Truth or Consequences,Sierra,1294,4245
Yuba City,Sutter,18,59
San Dimas,Los Angeles,291,955
San Luis,Yuma,40,131
Crested Butte,Gunnison,2720,8924
San Fernando,Los Angeles,326,1070
Somerton,Yuma,32,105
Yuma,Yuma,43,141
Florence,Pinal,454,1489
Kearny,Pinal,567,1860
San Gabriel,Los Angeles,128,420
Crawford,Delta,1999,6558
San Marino,Los Angeles,172,564
Hotchkiss,Delta,1625,5331
Victor,Teller,2959,9708
Santa Clarita,Los Angeles,368,1207
Woodland Park,Teller,2585,8481
Santa Fe Springs,Los Angeles,41,135
Ramah,El Paso,1865,6119
Santa Monica,Los Angeles,32,105
Green Mountain Falls,El Paso,2364,7756
Sierra Madre,Los Angeles,252,827
South Lake Tahoe,El Dorado,1901,6237
Signal Hill,Los Angeles,45,148
Buena Vista,Chaffee,2426,7959
South El Monte,Los Angeles,76,249
Salida,Chaffee,2159,7083
South Gate,Los Angeles,35,115
Poncha Springs,Chaffee,2277,7470
South Pasadena,Los Angeles,201,659
Salina,Sevier,1573,5161
Temple City,Los Angeles,122,400
Annabella,Sevier,1613,5292
Torrance,Los Angeles,27,89
Elsinore,Sevier,1631,5351
Vernon,Los Angeles,62,203
Redmond,Sevier,1556,5105
Walnut,Los Angeles,171,561
Glenwood,Sevier,1607,5272
West Covina,Los Angeles,117,384
Joseph,Sevier,1657,5436
Westlake Village,Los Angeles,281,922
Koosharem,Sevier,2109,6919
Whittier,Los Angeles,112,367
Kit Carson,Cheyenne,1306,4285
Tupelo,Coal,210,689
West Sacramento,Yolo,6,20
Tulia,Swisher,1061,3481
Winters,Yolo,41,135
Happy,Swisher,1102,3615
Woodland,Yolo,21,69
Silverton,Briscoe,999,3278
Saint Helena,Napa,77,253
Turkey,Hall,711,2333
Yountville,Napa,30,98
Estelline,Hall,559,1834
Santa Rosa,Sonoma,50,164
Lakeview,Hall,649,2129
Sebastopol,Sonoma,25,82
Bray,Stephens,384,1260
Sonoma,Sonoma,26,85
Empire City,Stephens,325,1066
Sacramento,Sacramento,9,30
Sutter Creek,Amador,362,1188
Loco,Stephens,295,968
Brookside,Fremont,1630,5348
Rockvale,Fremont,1665,5463
Albion,Pushmataha,205,673
Eads,Kiowa,1286,4219
Rattan,Pushmataha,142,466
Haswell,Kiowa,1385,4544
Sulphur,Murray,305,1001
Suisun City,Solano,4,13
Dougherty,Murray,236,774
Hickory,Murray,368,1207
Vacaville,Solano,53,174
Davidson,Tillman,356,1168
Vallejo,Solano,21,69
Hollister,Tillman,343,1125
Boone,Pueblo,1361,4465
Loveland,Tillman,327,1073
Elida,Roosevelt,1329,4360
Socorro,Socorro,1403,4603
Wilson,Carter,285,935
Dickson,Carter,250,820
Rio Bravo,Webb,124,407
Laredo,Webb,126,413
Jordan,Garfield,793,2602
Gregory,San Patricio,9,30
Soap Lake,Grant,337,1106
Mathis,San Patricio,49,161
Rye,Pueblo,2073,6801
Warden,Grant,397,1302
Odem,San Patricio,22,72
Crowley,Crowley,1327,4354
Hulbert,Cherokee,191,627
Electric City,Grant,503,1650
Ramona,Washington,203,666
Portland,San Patricio,13,43
Junction,Piute,1831,6007
Stilwell,Adair,332,1089
Ennis,Madison,1506,4941
Deer Creek,Grant,332,1089
Hartline,Grant,583,1913
Freer,Duval,158,518
Stinnett,Hutchinson,972,3189
Kingston,Piute,1834,6017
Twin Falls,Twin Falls,1138,3734
Renfrow,Grant,370,1214
Krupp,Grant,404,1325
Orange Grove,Jim Wells,59,194
Broadus,Powder River,923,3028
Sunray,Moore,1069,3507
Hanksville,Wayne,1307,4288
Torrington,Goshen,1251,4104
Jefferson,Grant,319,1047
Sprague,Lincoln,580,1903
Premont,Jim Wells,50,164
Tillamook,Tillamook,8,26
Reydon,Roger Mills,696,2283
Loa,Wayne,2153,7064
Fort Laramie,Goshen,1292,4239
Lamont,Grant,308,1010
Almira,Lincoln,585,1919
Robstown,Nueces,22,72
Wheeler,Tillamook,22,72
Hammon,Roger Mills,532,1745
Lyman,Wayne,2189,7182
La Grange,Goshen,1399,4590
Burlington,Alfalfa,371,1217
Creston,Lincoln,744,2441
Petronila,Nueces,15,49
Bonanza,Saguache,2889,9478
Lingle,Goshen,1272,4173
Aline,Alfalfa,393,1289
Reardan,Lincoln,766,2513
Port Aransas,Nueces,2,7
Sherwood,Washington,61,200
Santa Fe,Santa Fe,2132,6995
Crestone,Saguache,2415,7923
Kingsville,Kleberg,18,59
Tigard,Washington,51,167
Edgewood,Santa Fe,2026,6647
Glendo,Platte,1439,4721
Amorita,Alfalfa,368,1207
East Helena,Lewis and Clark,1185,3888
Saguache,Saguache,2349,7707
Goltry,Alfalfa,421,1381
Denton,Fergus,1097,3599
Stroud,Lincoln,270,886
Guernsey,Platte,1327,4354
Sonora,Tuolumne,544,1785
Falfurrias,Brooks,35,115
Tualatin,Washington,38,125
Ridgway,Ouray,2148,7047
Escobares,Starr,55,180
Wasco,Sherman,390,1280
Agra,Lincoln,314,1030
Hartville,Platte,1427,4682
Helena,Alfalfa,430,1411
Grass Range,Fergus,1062,3484
San Rafael,Marin,13,43
Davenport,Lincoln,257,843
Saint Charles,Bear Lake,1818,5964
Jet,Alfalfa,379,1243
Richey,Dawson,764,2507
Rio Grande City,Starr,53,174
Troutdale,Multnomah,39,128
Sausalito,Marin,3,10
Fallis,Lincoln,296,971
Roma,Starr,66,217
Wood Village,Multnomah,48,157
Dixon,Carbon,1940,6365
Lambert,Alfalfa,389,1276
Sammamish,King,18,59
Ross,Marin,9,30
Kendrick,Lincoln,260,853
Braman,Kay,321,1053
SeaTac,King,82,269
Elk Mountain,Carbon,2214,7264
Shaniko,Wasco,1019,3343
La Grulla,Starr,43,141
Fairfax,Marin,34,112
Dewar,Okmulgee,205,673
Riverside,Carbon,2177,7142
The Dalles,Wasco,77,253
Edcouch,Hidalgo,19,62
Stockton,San Joaquin,4,13
Grayson,Okmulgee,200,656
Tonkawa,Kay,300,984
Seattle,King,54,177
Kildare,Kay,343,1125
Shoreline,King,147,482
Hoffman,Okmulgee,196,643
Edinburg,Hidalgo,29,95
Tracy,San Joaquin,16,52
Encampment,Carbon,2218,7277
Salmon,Lemhi,1202,3944
Bridger,Carbon,1117,3665
Granada,Prowers,1062,3484
Hanna,Carbon,2078,6818
Boynton,Muskogee,190,623
Elsa,Hidalgo,21,69
Afton,Ottawa,240,787
Snoqualmie,King,129,423
Rock River,Albany,2102,6896
Braggs,Muskogee,170,558
Granjeno,Hidalgo,33,108
Quapaw,Ottawa,258,846
Tukwila,King,44,144
Fromberg,Carbon,1077,3533
Hartman,Prowers,1097,3599
Woodinville,King,12,39
Joliet,Carbon,1139,3737
Holly,Prowers,1034,3392
Hidalgo,Hidalgo,31,102
Fairland,Ottawa,254,833
Weston,Franklin,1446,4744
Council Hill,Muskogee,201,659
Fowler,Otero,1323,4340
Hunts Point,King,19,62
Sandy,Clackamas,299,981
McAllen,Hidalgo,37,121
Buffalo,Harper,553,1814
Granger,Sweetwater,1912,6273
West Linn,Clackamas,40,131
Porum,Muskogee,180,591
Antimony,Garfield,1966,6450
Shelton,Mason,7,23
Mercedes,Hidalgo,21,69
Rosston,Harper,653,2142
Hatch,Garfield,2109,6919
Westport,Grays Harbor,3,10
Tulelake,Siskiyou,1230,4035
Wilsonville,Clackamas,46,151
Fort Gibson,Muskogee,172,564
Mission,Hidalgo,43,141
Laverne,Harper,643,2110
Henrieville,Garfield,1828,5997
Alberton,Mineral,931,3054
Weed,Siskiyou,1045,3428
Haskell,Muskogee,175,574
Sheridan,Yamhill,60,197
Palmhurst,Hidalgo,49,161
Saint Johns,Apache,1731,5679
Yreka,Siskiyou,789,2589
Brian Head,Iron,2987,9800
Butler,Custer,540,1772
Willamina,Yamhill,71,233
Saint Maries,Benewah,668,2192
Palmview,Hidalgo,45,148
Eagar,Apache,2159,7083
Smithfield,Cache,1403,4603
Kanarraville,Iron,1689,5541
Thomas,Custer,532,1745
Yamhill,Yamhill,59,194
Tensed,Benewah,781,2562
Wellsville,Cache,1386,4547
Penitas,Hidalgo,44,144
Keyes,Cimarron,1202,3944
Lake City,Hinsdale,2640,8661
Weatherford,Custer,504,1654
Saint Paul,Marion,53,174
Goodwell,Texas,1007,3304
Sumner,Pierce,23,75
Amalga,Cache,1353,4439
Pharr,Hidalgo,34,112
San Pablo,Contra Costa,16,52
Arapaho,Custer,504,1654
Salem,Marion,48,157
Garden City,Rich,1819,5968
San Ramon,Contra Costa,148,486
Custer City,Custer,540,1772
Scotts Mills,Marion,132,433
Progreso,Hidalgo,21,69
Hardesty,Texas,886,2907
Tacoma,Pierce,76,249
Laketown,Rich,1821,5974
Silverton,Marion,78,256
Walnut Creek,Contra Costa,52,171
University Place,Pierce,61,200
La Joya,Hidalgo,53,174
Forgan,Beaver,790,2592
San Bernardino,San Bernardino,321,1053
Tremonton,Box Elder,1318,4324
La Villa,Hidalgo,17,56
Gate,Beaver,691,2267
Twentynine Palms,San Bernardino,606,1988
Eatonville,Pierce,245,804
Stayton,Marion,140,459
Danville,Contra Costa,109,358
Willard,Box Elder,1326,4350
Lyford,Willacy,10,33
Knowles,Beaver,774,2539
Upland,San Bernardino,377,1237
Ruston,Pierce,15,49
Sublimity,Marion,168,551
Turlock,Stanislaus,31,102
Deweyville,Box Elder,1322,4337
Raymondville,Willacy,10,33
Victorville,San Bernardino,831,2726
Red River,Taos,2643,8671
Hatton,Adams,327,1073
Turner,Marion,87,285
Elwood,Box Elder,1310,4298
Waterford,Stanislaus,52,171
Harlingen,Cameron,12,39
Yucaipa,San Bernardino,798,2618
San Juan Bautista,San Benito,66,217
Lind,Adams,417,1368
Woodburn,Marion,57,187
Apple Valley,San Bernardino,898,2946
Salinas,Monterey,16,52
Plymouth,Box Elder,1368,4488
Walsenburg,Huerfano,1881,6171
Los Fresnos,Cameron,7,23
Tekoa,Whitman,772,2533
Sumpter,Baker,1350,4429
Unity,Baker,1223,4012
Albion,Whitman,685,2247
La Veta,Huerfano,2145,7037
Rio Hondo,Cameron,8,26
San Luis Obispo,San Luis Obispo,71,233
Sand City,Monterey,22,72
Portage,Box Elder,1331,4367
Fielding,Box Elder,1333,4373
Shafter,Kern,106,348
Seaside,Monterey,10,33
Creede,Mineral,2682,8799
Palm Valley,Cameron,13,43
Siletz,Lincoln,40,131
Endicott,Whitman,528,1732
Soledad,Monterey,58,190
San Leandro,Alameda,17,56
Port Isabel,Cameron,3,10
Toledo,Lincoln,5,16
Rosalia,Whitman,682,2238
Howell,Box Elder,1390,4560
Taft,Kern,291,955
Winnemucca,Humboldt,1309,4295
Tehachapi,Kern,1210,3970
Saint John,Whitman,598,1962
La Feria,Cameron,17,56
Waldport,Lincoln,3,10
Woodward,Woodward,582,1909
Union City,Alameda,20,66
Dove Creek,Dolores,2086,6844
Wells,Elko,1716,5630
Wasco,Kern,100,328
Farmington,Whitman,805,2641
Bayview,Cameron,8,26
Yachats,Lincoln,14,46
Fort Supply,Woodward,610,2001
Tucumcari,Quay,1247,4091
Garfield,Whitman,754,2474
Frannie,Park,1285,4216
Tulare,Tulare,88,289
Rico,Dolores,2690,8825
West Wendover,Elko,1360,4462
Kingman,Mohave,1021,3350
Del Norte,Rio Grande,2403,7884
Sparks,Washoe,1345,4413
Lake Havasu City,Mohave,225,738
Visalia,Tulare,101,331
Burlington,Big Horn,1351,4432
Yukon,Canadian,393,1289
Lamont,Whitman,596,1955
Bucoda,Thurston,80,262
Burns,Laramie,1682,5518
Sumas,Whatcom,13,43
Woodlake,Tulare,134,440
Cowley,Big Horn,1216,3989
Spencer,Oklahoma,366,1201
San Francisco,San Francisco,16,52
Deaver,Big Horn,1252,4108
The Village,Oklahoma,372,1220
Branson,Las Animas,1911,6270
Fort Peck,Valley,663,2175
Kansas,Delaware,349,1145
Tenino,Thurston,87,285
Albin,Laramie,1627,5338
Greybull,Big Horn,1156,3793
Lyman,Uinta,2044,6706
Red Rock,Noble,283,928
Tumwater,Thurston,53,174
Trinidad,Las Animas,1839,6033
Whitefish,Flathead,923,3028
Warr Acres,Oklahoma,399,1309
Lovell,Big Horn,1168,3832
Foyil,Rogers,232,761
Yelm,Thurston,105,344
Trinidad,Humboldt,53,174
Dodson,Phillips,697,2287
Arcadia,Oklahoma,295,968
Aguilar,Las Animas,1947,6388
Rainier,Thurston,132,433
South Ogden,Weber,1356,4449
Saco,Phillips,665,2182
Forest Park,Oklahoma,370,1214
Kim,Las Animas,1735,5692
Sheridan,Sheridan,1141,3743
Inola,Rogers,183,600
Troy,Latah,758,2487
Troy,Lincoln,576,1890
Jones,Oklahoma,340,1115
Washington Terrace,Weber,1405,4610
Hooper,Alamosa,2304,7559
Dayton,Sheridan,1195,3921
Covington,Garfield,348,1142
West Haven,Weber,1302,4272
San Bruno,San Mateo,6,20
Selah,Yakima,341,1119
Rexford,Lincoln,777,2549
Lake Aluma,Oklahoma,348,1142
Ranchester,Sheridan,1147,3763
Douglas,Garfield,348,1142
San Carlos,San Mateo,9,30
Drummond,Garfield,373,1224
Sunnyside,Yakima,227,745
Eureka,Lincoln,787,2582
Luther,Oklahoma,279,915
Hulett,Crook,1142,3747
Huntsville,Weber,1502,4928
San Mateo,San Mateo,14,46
Fairmont,Garfield,366,1201
Francis,Summit,2000,6562
Browning,Glacier,1334,4377
Sallisaw,Sequoyah,162,531
Seneca,Grant,1425,4675
Toppenish,Yakima,231,758
South San Francisco,San Mateo,5,16
Hillsdale,Garfield,375,1230
Henefer,Summit,1626,5335
Dayville,Grant,722,2369
Portola Valley,San Mateo,140,459
Hunter,Garfield,333,1093
Union Gap,Yakima,300,984
Roland,Sequoyah,147,482
Hingham,Hill,923,3028
Susanville,Lassen,1276,4186
Scobey,Daniels,752,2467
Stanley,Custer,1906,6253
Hillsborough,San Mateo,98,322
Kremlin,Garfield,341,1119
Wapato,Yakima,261,856
Gans,Sequoyah,165,541
Weiser,Washington,649,2129
Blanca,Costilla,2364,7756
Lahoma,Garfield,379,1243
Yakima,Yakima,326,1070
Gore,Sequoyah,151,495
Flaxville,Daniels,848,2782
Shasta Lake,Shasta,246,807
Scio,Linn,96,315
South Weber,Davis,1375,4511
Pritchett,Baca,1473,4833
Fargo,Ellis,643,2110
Zillah,Yakima,249,817
Boley,Okfuskee,272,892
Tonasket,Okanogan,280,919
Sunset,Davis,1375,4511
Sodaville,Linn,125,410
Dolores,Montezuma,2114,6936
Gage,Ellis,654,2146
Harrah,Yakima,254,833
IXL,Okfuskee,263,863
Elmer City,Okanogan,333,1093
Syracuse,Davis,1306,4285
White Sulphur Springs,Meagher,1537,5043
Blackburn,Pawnee,247,810
Sweet Home,Linn,161,528
Ignacio,La Plata,1967,6453
Vega,Oldham,1228,4029
Riverside,Okanogan,264,866
Saint George,Washington,823,2700
Tangent,Linn,76,249
Groom,Carson,992,3255
Cusick,Pend Oreille,626,2054
Ralston,Pawnee,251,823
Weippe,Clearwater,919,3015
West Bountiful,Davis,1301,4268
Santa Clara,Washington,842,2762
Saint Anthony,Fremont,1514,4967
Lefors,Gray,855,2805
Ione,Pend Oreille,634,2080
Hallett,Pawnee,279,915
Ismay,Custer,770,2526
West Point,Davis,1315,4314
Teton,Fremont,1508,4947
Jennings,Pawnee,284,932
Woods Cross,Davis,1333,4373
Drummond,Granite,1208,3963
Shelby,Toole,1005,3297
Shamrock,Wheeler,714,2342
Washington,Washington,851,2792
Adair,Mayes,208,682
Warm River,Fremont,1614,5295
Wheeler,Wheeler,764,2507
Disney,Mayes,249,817
Jackson,Teton,1901,6237
Apple Valley,Washington,1506,4941
Kevin,Toole,1015,3330
South Bend,Pacific,28,92
Tooele,Tooele,1537,5043
Rentiesville,McIntosh,183,600
Rockville,Washington,1140,3740
Grand Lake Towne,Mayes,242,794
Spencer,Clark,1801,5909
Toledo,Lewis,37,121
Wendover,Tooele,1308,4291
Sandpoint,Bonner,641,2103
Leeds,Washington,1061,3481
Kaycee,Johnson,1417,4649
Langley,Mayes,233,764
Hanna,McIntosh,206,676
Vader,Lewis,49,161
Rush Valley,Tooele,1537,5043
Friday Harbor,San Juan,17,56
San Joaquin,Fresno,53,174
Vale,Malheur,684,2244
Locust Grove,Mayes,206,676
Hitchita,McIntosh,198,650
Winlock,Lewis,93,305
Eaton,Weld,1475,4839
Sedro-Woolley,Skagit,18,59
Ames,Major,369,1211
Sanger,Fresno,113,371
Sisters,Deschutes,971,3186
Apache,Caddo,394,1293
Townsend,Broadwater,1171,3842
Platteville,Weld,1467,4813
Hamilton,Skagit,30,98
Ringwood,Major,400,1312
Selma,Fresno,94,308
Springfield,Lane,140,459
Cyril,Caddo,416,1365
Ryegate,Golden Valley,1113,3652
La Conner,Skagit,15,49
Raymer,Weld,1456,4777
Stratford,Sherman,1125,3691
Alton,Kane,2146,7041
Veneta,Lane,129,423
Eakly,Caddo,456,1496
Lavina,Golden Valley,1048,3438
Texhoma,Sherman,1063,3487
Glendale,Kane,1761,5777
Westfir,Lane,327,1073
Lyman,Skagit,31,102
Erie,Weld,1532,5026
Fort Cobb,Caddo,382,1253
West Richland,Benton,127,417
San Jose,Santa Clara,25,82
Spearman,Hansford,946,3104
Brockton,Roosevelt,605,1985
Gracemont,Caddo,378,1240
Firestone,Weld,1515,4970
Worland,Washakie,1238,4062
Plevna,Fallon,845,2772
Santa Clara,Santa Clara,22,72
Booker,Lipscomb,863,2831
Wolf Point,Roosevelt,609,1998
Hinton,Caddo,512,1680
Frederick,Weld,1519,4984
East Thermopolis,Hot Springs,1323,4340
Stites,Idaho,398,1306
Saratoga,Santa Clara,129,423
Darrouzett,Lipscomb,779,2556
Culbertson,Roosevelt,589,1932
Hydro,Caddo,474,1555
Garden City,Weld,1431,4695
Kirby,Hot Springs,1301,4268
White Bird,Idaho,482,1581
Sunnyvale,Santa Clara,38,125
Gilcrest,Weld,1449,4754
Darby,Ravalli,1184,3884
Dubois,Fremont,2117,6945
Sand Springs,Tulsa,206,676
Froid,Roosevelt,619,2031
Lookeba,Caddo,418,1371
Los Altos Hills,Santa Clara,88,289
Grover,Weld,1547,5075
Waitsburg,Walla Walla,385,1263
Hudson,Fremont,1550,5085
Dewey-Humboldt,Yavapai,1397,4583
Los Gatos,Santa Clara,105,344
Tulsa,Tulsa,220,722
Walla Walla,Walla Walla,287,942
Hudson,Weld,1524,5000
Wenatchee,Chelan,204,669
Sun Valley,Blaine,1812,5945
Prescott Valley,Yavapai,1532,5026
Antonito,Conejos,2405,7890
Coupeville,Island,25,82
Liberty,Tulsa,196,643
Prescott,Walla Walla,322,1056
Johnstown,Weld,1479,4852
Tetonia,Teton,1849,6066
Sequim,Clallam,55,180
Lotsee,Tulsa,231,758
Boulder,Jefferson,1496,4908
Jerome,Yavapai,1544,5066
Romeo,Conejos,2358,7736
Keenesburg,Weld,1510,4954
Stillwater,Payne,273,896
Kersey,Weld,1407,4616
La Jara,Conejos,2318,7605
Sayre,Beckham,551,1808
Broadview,Yellowstone,1183,3881
Victor,Teton,1894,6214
Geraldine,Chouteau,956,3136
La Salle,Weld,1426,4678
Sutherlin,Douglas,157,515
Snohomish,Snohomish,20,66
Hysham,Treasure,810,2657
Santa Cruz,Santa Cruz,11,36
Bowlegs,Seminole,286,938
Yale,Payne,245,804
Scotts Valley,Santa Cruz,171,561
Seminole,Seminole,272,892
Winchester,Lewis,1213,3980
Ripley,Payne,258,846
Lochbuie,Weld,1530,5020
Winston,Douglas,169,554
Stanwood,Snohomish,0,0
Glencoe,Payne,326,1070
Sultan,Snohomish,33,108
Yoncalla,Douglas,112,367
Steamboat Springs,Routt,2052,6732
Watsonville,Santa Cruz,10,33
Wewoka,Seminole,245,804
Stevenson,Skamania,62,203
Dover,Kingfisher,315,1033
Darrington,Snohomish,169,554
Sugar City,Madison,1492,4895
Cromwell,Seminole,293,961
Show Low,Navajo,1927,6322
Hayden,Routt,1935,6348
Woodland,Cowlitz,9,30
Hennessey,Kingfisher,354,1161
Lima,Seminole,267,876
Winslow,Navajo,1479,4852
Dinosaur,Moffat,1805,5922
Seaside,Clatsop,6,20
Wilder,Canyon,740,2428
Index,Snohomish,175,574
Thompson Falls,Sanders,779,2556
Warrenton,Clatsop,3,10
Star,Ada,753,2470
Sterling,Logan,1200,3937
Loyal,Kingfisher,339,1112
Burns Flat,Washita,578,1896
Sedona,Coconino,1326,4350
Three Forks,Gallatin,1242,4075
Williams,Coconino,2063,6768
Dill City,Washita,565,1854
Crook,Logan,1131,3711
Coyle,Logan,267,876
Swan Valley,Bonneville,1620,5315
